Subject,Start Date
Selim I incorporates eastern Anatolia into Ottoman Empire,03/19/1514
Ottoman-Safavid rivalry and religious conflict formalized,04/12/1514
Battle of Chaldiran - Ottoman Selim I defeats Safavid Shah Ismail,08/23/1514
Francis I becomes king of France,01/01/1515
Battle of Marignano - Francis I defeats Swiss and Milanese,09/13/1515
Thomas Wolsey becomes Lord Chancellor and Cardinal in England,11/27/1515
Charles I becomes king of Spain (later Emperor Charles V),01/23/1516
Erasmus publishes Greek New Testament,07/14/1516
"Battle of Marj Dabiq - Ottomans defeat Mamluks, take Syria",08/24/1516
"Ottoman Selim I defeats Mamluks, takes Egypt",01/22/1517
Martin Luther posts 95 Theses - Protestant Reformation begins,10/31/1517
Selim I claims title of Caliph of Islam,11/27/1517
Diet of Augsburg - Luther refuses to recant before Cajetan,01/18/1518
Beginning of slave trade from Africa to Americas by Spain,06/22/1518
Raphael appointed architect of St Peter's Basilica,06/30/1518
Charles V elected Holy Roman Emperor,06/28/1519
Hernan Cortes begins conquest of Aztec Empire,07/26/1519
Ferdinand Magellan begins circumnavigation of the globe,08/24/1519
Suleiman the Magnificent becomes Ottoman Sultan,09/22/1520
Diet of Worms - Luther excommunicated for defying pope,10/04/1520
Cortes defeats Aztecs after Noche Triste,12/23/1520
Hernan Cortes conquers Aztec Empire,03/09/1521
Diet of Worms - Luther declares 'Here I stand' before Emperor,04/18/1521
"Cortes captures Tenochtitlan, Aztec Empire falls",08/13/1521
Ottoman Suleiman I captures Belgrade,08/28/1521
Juan Sebastian Elcano completes first circumnavigation of globe,09/06/1522
Knights Hospitaller expelled from Rhodes by Ottomans,12/07/1522
Ottoman Turks capture Rhodes from Knights of St John,12/22/1522
"Gustav Vasa becomes king of Sweden, ending Kalmar Union",06/06/1523
Zwingli leads Reformation in Zurich,11/14/1523
Francisco Pizarro begins reconnaissance of South America,01/04/1524
Giovanni da Verrazzano explores North American coast for France,10/20/1524
Peasants War begins in Germany inspired by Reformation,11/10/1524
Battle of Pavia - Charles V captures French King Francis I,02/24/1525
"Teutonic Knights secularize, Prussia becomes duchy under Poland",06/10/1525
"Peasants War in Germany suppressed, Thomas Muentzer executed",11/01/1525
Mughal Empire founded by Babur in India,01/04/1526
"Battle of Mohacs - Ottomans crush Hungary, King Louis II killed",08/29/1526
Ottoman Empire defeats Hungary at Battle of Mohacs,08/29/1526
Suleiman annexes most of Hungary after Mohacs,11/25/1526
Habsburg Empire founded,12/23/1526
Babur consolidates Mughal control of northern India,03/30/1527
"Sack of Rome by Charles V's troops, Pope Clement VII imprisoned",05/06/1527
Florence briefly restored to republic after expulsion of Medici,07/29/1527
Sack of Rome by Holy Roman Empire forces,09/17/1527
Mughal Emperor Babur defeats Rajput Confederation,01/14/1528
Castiglione writes The Book of the Courtier,12/11/1528
Treaty between France and England against Charles V,12/11/1528
English Reformation begins - Henry VIII conflicts with Pope over divorce,01/14/1529
Ottoman Empire besieges Vienna,07/05/1529
Treaty of Cambrai - Francis I abandons Italian claims to Charles V,08/03/1529
Siege of Vienna - Suleiman fails to take Habsburg capital,10/14/1529
Charles V crowned Holy Roman Emperor by Pope Clement VII,02/24/1530
Knights of Malta established - expelled Hospitallers given Malta,04/13/1530
Augsburg Confession - Lutheran statement of faith presented to Charles V,06/25/1530
Francisco Pizarro begins conquest of Inca Empire,02/21/1531
Schmalkaldic League - Protestant princes form defensive alliance,02/27/1531
Zwingli killed at Battle of Kappel fighting Catholic cantons,10/11/1531
Ottoman-Habsburg frontier stabilized in central Hungary,02/02/1532
Act in Restraint of Appeals - Henry VIII breaks England from Rome,10/01/1532
Pizarro captures Inca Emperor Atahualpa at Cajamarca,11/16/1532
Ivan IV (the Terrible) becomes Grand Prince of Russia at age 3,04/10/1533
"Henry VIII marries Anne Boleyn, excommunicated by Pope",05/28/1533
Francisco Pizarro conquers Inca Empire,06/26/1533
"Pizarro executes Atahualpa, completes conquest of Peru",07/26/1533
Jacques Cartier explores Gulf of St Lawrence for France,03/03/1534
Henry VIII breaks with Rome - Church of England established,03/18/1534
France begins colonial empire,04/16/1534
Ignatius of Loyola founds Society of Jesus (Jesuits),08/15/1534
Act of Supremacy - Henry VIII declared Supreme Head of Church of England,11/03/1534
Anabaptist Kingdom of Munster crushed by combined Catholic-Protestant forces,03/19/1535
Thomas More executed for refusing to accept Henry VIII's supremacy,07/06/1535
Coverdale Bible - first complete English Bible printed,08/22/1535
Dissolution of English monasteries begins,04/30/1536
"Anne Boleyn executed, Henry VIII marries Jane Seymour",05/19/1536
Calvin publishes Institutes of the Christian Religion,09/20/1536
Pope Paul III issues Sublimis Dei protecting Native Americans,06/02/1537
Jane Seymour dies after giving birth to future Edward VI,10/24/1537
Schmalkaldic League strengthens against Charles V,11/13/1537
Battle of Preveza - Ottoman fleet defeats Holy League,09/28/1538
Ottoman domination of Eastern Mediterranean established,11/07/1538
Pope Paul III excommunicates Henry VIII,12/17/1538
Dissolution of English monasteries largely complete,02/13/1539
Hernando de Soto begins exploration of southeastern North America,07/01/1539
Francis Xavier and Ignatius of Loyola establish Jesuit missions,09/07/1539
Coronado begins exploration of American Southwest,08/27/1540
Society of Jesus (Jesuits) officially recognized by Pope Paul III,09/27/1540
Henry VIII dissolves last English monasteries,10/12/1540
John Calvin establishes theocracy in Geneva,04/11/1541
Hernando de Soto discovers Mississippi River,05/08/1541
"Ottoman Suleiman captures Buda, Hungary becomes Ottoman province",08/29/1541
"Portuguese reach Japan, introducing Christianity and firearms",07/20/1542
"Spanish create encomienda system, Council of Indies debates treatment of natives",11/09/1542
Mary Queen of Scots born,12/08/1542
Henry VIII enters into alliance with Holy Roman Emperor Charles V against France,03/15/1543
Copernicus publishes heliocentric theory,11/05/1543
"Andreas Vesalius publishes modern anatomy, De Humani Corporis Fabrica",12/22/1543
Battle of Ceresole - French defeat imperial forces in Italy,04/14/1544
"Francis Xavier begins missionary work in Goa, India",06/18/1544
Peace of Crespy between France and Holy Roman Empire,09/18/1544
"Spanish discover vast silver deposits at Potosi, Bolivia",05/07/1545
Council of Trent - Catholic Counter-Reformation begins,10/30/1545
"Francis Drake born in Devon, England",11/25/1545
Schmalkaldic War begins - Charles V attacks Protestant princes,01/18/1546
Martin Luther dies in Eisleben,02/18/1546
"George Wishart burned at stake in Scotland, beginning Scottish Reformation",03/01/1546
Battle of Muhlberg - Charles V defeats Schmalkaldic League,04/24/1547
Ivan the Terrible becomes first Tsar of all Russia,06/13/1547
Council of Trent continues Counter-Reformation work,01/24/1548
Sigismund II Augustus becomes king of Poland,09/07/1548
Book of Common Prayer introduced in England under Edward VI,01/15/1549
Probability theory developed,07/29/1549
Francis Xavier reaches Japan,08/15/1549
"Kett's Rebellion in Norfolk, England against enclosures",10/06/1549
Valladolid debate on rights of indigenous Americans,02/11/1550
Suleiman the Magnificent at height of Ottoman power,11/18/1550
Giorgio Vasari publishes Lives of the Artists,11/23/1550
The Servetus affair - Michael Servetus burned in Calvin's Geneva,06/07/1551
Council of Trent resumes its sessions,06/13/1551
Ottoman-Habsburg war in Hungary continues,06/24/1551
Treaty of Passau - Protestant rights temporarily guaranteed in Germany,08/02/1552
"Ivan IV campaigns against Kazan Khanate, captures Kazan",10/02/1552
Francis Xavier dies on way to China,12/03/1552
Edward VI of England dies,07/06/1553
"Mary I becomes queen of England, restores Catholicism",07/19/1553
Lady Jane Grey's nine-day reign ends,07/19/1553
Lady Jane Grey executed,02/12/1554
Wyatt's Rebellion against Mary I suppressed,02/18/1554
Mary I of England marries Philip II of Spain,07/25/1554
"Mary I burns Protestant martyrs, earning name Bloody Mary",09/04/1555
"Peace of Augsburg - cuius regio, eius religio established in HRE",09/25/1555
Peace of Augsburg ends Protestant wars in Germany,09/26/1555
Hugh Latimer and Nicholas Ridley burned at stake,10/16/1555
"Charles V abdicates, divides Habsburg empire between son and brother",01/16/1556
Akbar the Great becomes Mughal Emperor,07/01/1556
Philip II becomes king of Spain,08/12/1556
Portuguese establish Macao as trading post in China,04/30/1557
Battle of St Quentin - Spain defeats France,08/10/1557
Ivan IV conquers Astrakhan Khanate,12/26/1557
"England loses Calais, last English territory in France",01/07/1558
Mary I of England dies,11/17/1558
Elizabeth I becomes queen of England,11/17/1558
Peace of Cateau-Cambresis ends Habsburg-Valois Italian Wars,04/03/1559
John Knox establishes Scottish Reformation,08/06/1559
"Pope Paul IV dies, Pius IV elected",08/18/1559
Scottish Reformation formally established by Parliament,03/18/1560
French Wars of Religion begin,03/25/1560
Livonian War begins - Russia against Livonian Order,12/18/1560
Council of Trent resumes for final sessions,03/10/1561
Edict of January grants French Protestants some rights,08/02/1561
Mary Queen of Scots returns to Scotland from France,08/19/1561
French Wars of Religion begin with Massacre of Vassy,03/01/1562
John Hawkins begins English slave trade with Africa and Americas,05/07/1562
Huguenot massacre at Vassy triggers French religious civil war,12/11/1562
Philip II begins construction of El Escorial palace-monastery,06/02/1563
Plague kills thousands in London and England,06/07/1563
"Council of Trent concludes, Counter-Reformation defined",12/04/1563
Galileo Galilei born,02/15/1564
Michelangelo dies,02/18/1564
William Shakespeare born,04/23/1564
Akbar the Great begins building Fatehpur Sikri,02/27/1565
Tobacco introduced to England from Americas,04/09/1565
Great Siege of Malta - Knights of Malta repel Ottoman attack,09/08/1565
Dutch revolt against Spanish begins (Beeldenstorm),08/30/1566
Suleiman the Magnificent dies during siege of Szigetvar,09/06/1566
Selim II becomes Ottoman Sultan,11/11/1566
Duke of Alba arrives in Netherlands with Spanish army to crush revolt,06/11/1567
James VI becomes king of Scotland as infant,07/29/1567
"Mary Queen of Scots abdicates, flees to England",08/22/1567
Mary Queen of Scots imprisoned by Elizabeth I of England,01/04/1568
Oda Nobunaga begins unification of Japan,03/25/1568
Eighty Years War begins - Dutch war for independence from Spain,07/16/1568
Northern Rising in England - Catholics rebel against Elizabeth I,03/31/1569
Union of Lublin - Poland and Lithuania form Polish-Lithuanian Commonwealth,07/01/1569
Gerardus Mercator publishes his famous world map projection,09/06/1569
Pope Pius V excommunicates Elizabeth I of England,02/25/1570
Ottoman Turks invade Cyprus,07/11/1570
"Cervantes fights at Battle of Lepanto, wounded",08/18/1571
Ottoman Turks complete conquest of Cyprus,09/03/1571
Battle of Lepanto - Holy League defeats Ottoman fleet,10/07/1571
Eighty Years War - William of Orange leads Dutch resistance,03/13/1572
St Bartholomew's Day Massacre - thousands of Huguenots killed in France,08/24/1572
St. Bartholomew's Day Massacre in France,08/24/1572
Tycho Brahe observes supernova,11/11/1572
Venice cedes Cyprus to Ottomans by treaty,03/07/1573
Francis Drake raids Panama for Spanish treasure,06/18/1573
Don John of Austria captures Tunis from Ottomans,10/11/1573
William of Orange leads Dutch revolt against Spain,04/08/1574
Henry III of France becomes king after Charles IX dies,05/30/1574
Ottoman Turks retake Tunis,08/03/1574
"Spanish army mutinies in Netherlands, sacks Antwerp",05/23/1575
Battle of Nagashino - Oda Nobunaga defeats Takeda cavalry with firearms,06/28/1575
Mughal Emperor Akbar meets Jesuit priests in India,12/10/1575
Martin Frobisher explores Canadian Arctic seeking Northwest Passage,08/16/1576
"Spanish Fury - Spanish sack Antwerp, killing thousands",11/04/1576
Pacification of Ghent - Dutch provinces unite against Spanish,11/08/1576
Union of Arras vs Union of Utrecht divides Spanish Netherlands,05/02/1577
"El Greco arrives in Toledo, Spain",11/08/1577
Francis Drake begins circumnavigation of the globe,12/13/1577
"Drake explores California coast, claims it for England",01/21/1578
Portuguese succession crisis begins,02/21/1578
Battle of Alcazar Quivir - Portuguese king Sebastian I killed in Morocco,08/04/1578
Union of Arras - southern Netherlands (Belgium) remains Spanish,01/06/1579
Union of Utrecht - northern Netherlands forms basis for Dutch Republic,01/23/1579
"Francis Drake completes circumnavigation of globe, returns to England",04/13/1579
"Montaigne publishes Essays, pioneering the essay form",03/23/1580
"Francis Drake completes circumnavigation, knighted by Elizabeth I",04/04/1580
"Philip II of Spain claims Portugal, creating Iberian Union",08/25/1580
Dutch declare independence from Spain,11/11/1581
Ivan IV kills his own son in a rage (Ivan Ivanovich),11/19/1581
Act of Abjuration - Dutch formally renounce Philip II as ruler,12/12/1581
"Toyotomi Hideyoshi avenges Nobunaga, begins unification of Japan",05/03/1582
Oda Nobunaga assassinated by Akechi Mitsuhide,06/21/1582
Gregorian Calendar introduced by Pope Gregory XIII,10/15/1582
Throckmorton Plot to assassinate Elizabeth I uncovered,07/19/1583
Sir Humphrey Gilbert claims Newfoundland for England,08/05/1583
British Empire begins,10/25/1583
Walter Raleigh granted patent to colonize Virginia,10/26/1583
Ivan the Terrible dies,03/18/1584
William of Orange (William the Silent) assassinated,07/10/1584
Walter Raleigh establishes first English settlement in Virginia (Roanoke),08/04/1584
Roanoke Colony first established,08/08/1585
War of the Three Henrys in France begins,10/10/1585
Drake raids Spanish Caribbean settlements,10/18/1585
Babington Plot to assassinate Elizabeth I exposed,08/05/1586
Galileo invents thermoscope (precursor to thermometer),11/20/1586
Mary Queen of Scots implicated in Babington Plot,12/08/1586
Toyotomi Hideyoshi expels Jesuit missionaries from Japan,01/15/1587
Mary Queen of Scots executed for treason,02/08/1587
"Francis Drake raids Cadiz, singing the King of Spain's beard",04/19/1587
Spanish Armada defeated by England,09/09/1588
Tycho Brahe publishes model of solar system,12/23/1588
Henry III of France assassinated by Catholic friar,08/01/1589
"Henry IV (of Navarre) becomes king of France, founding Bourbon dynasty",08/02/1589
Boris Godunov begins rise to power in Russia,09/12/1589
Toyotomi Hideyoshi completes unification of Japan,04/24/1590
"Pope Sixtus V dies, followed by rapid succession of popes",08/27/1590
Edmund Spenser publishes first books of The Faerie Queene,10/21/1590
English Elizabethan theater at height with Shakespeare,03/19/1591
Songhai Empire collapses after Moroccan invasion,07/13/1591
Sir Richard Grenville dies fighting Spanish fleet at Flores,08/31/1591
Battle of Yellow Sea - Yi Sun-sin defeats Japanese fleet,02/04/1592
"Toyotomi Hideyoshi invades Korea, Japan-Korean-Chinese war begins",03/12/1592
Battle of Sacheon - Turtle ships used by Korean Admiral Yi Sun-sin,10/22/1592
Japanese invasion of Korea continues with battles,01/02/1593
Christopher Marlowe killed in tavern brawl,05/30/1593
Henry IV of France converts to Catholicism (Paris is worth a mass),07/25/1593
Shakespeare's Romeo and Juliet first performed (approximately),02/06/1594
"Henry IV enters Paris, consolidating French throne",03/22/1594
"Gerardus Mercator, Flemish cartographer, dies",12/02/1594
"Walter Raleigh explores Guiana, South America",06/03/1595
Dutch begin competing with Portugal in East Indies trade,09/15/1595
Plague kills thousands in London,11/26/1595
Thermometer invented by Galileo/Santorio,01/09/1596
Johannes Kepler publishes Mysterium Cosmographicum,03/06/1596
Thermometer invented,05/15/1596
Tycho Brahe observes and catalogs stars precisely,05/20/1596
Battle of Crossing of Cádiz - English attack Spanish fleet,06/21/1596
"Japanese invasion of Korea fails, Hideyoshi launches second invasion",05/30/1597
"Philip II of Spain launches second Armada against England, fails",09/13/1597
Battle of Myeongnyang - Yi Sun-sin defeats massive Japanese fleet with 13 ships,10/26/1597
Philip II of Spain dies,09/13/1598
"Toyotomi Hideyoshi dies, Japanese forces withdraw from Korea",09/18/1598
Edict of Nantes grants religious freedom in France,11/01/1598
Oliver Cromwell born,04/25/1599
Globe Theatre built in London by Shakespeare's company,08/01/1599
Essex rebellion against Elizabeth I begins,12/24/1599
Giordano Bruno burned at the stake,02/19/1600
East India Company founded in England,04/17/1600
Battle of Sekigahara - Tokugawa Ieyasu wins control of Japan,10/21/1600
Battle of Sekigahara in Japan,10/21/1600
Essex Rebellion - Earl of Essex executed for treason against Elizabeth I,02/25/1601
"Tycho Brahe dies, Kepler inherits his observational data",10/24/1601
Dutch East India Company (VOC) preparations underway,11/08/1601
Dutch East India Company (VOC) founded,03/20/1602
Shakespeare writes Hamlet,08/19/1602
Dutch East India Company founded - world's first public company,12/05/1602
Dutch Empire founded,12/18/1602
Dutch begin challenging Portuguese dominance in Indian Ocean trade,12/31/1602
Edo shogunate founded,02/03/1603
"Elizabeth I of England dies, James I unites English and Scottish crowns",03/24/1603
Tokugawa Ieyasu officially becomes Shogun of Japan,08/24/1603
Plague epidemic kills thousands in London,10/24/1603
Time of Troubles begins in Russia,01/31/1604
Dutch establish trading post in Indonesia,05/27/1604
False Dmitry I claims Russian throne,10/13/1604
Cervantes publishes Don Quixote,01/06/1605
False Dmitry I becomes Tsar of Russia,10/03/1605
Gunpowder Plot to blow up English Parliament uncovered,11/05/1605
Willem Jansz becomes first European to land in Australia,02/28/1606
"False Dmitry I killed, Vasili Shuisky becomes Tsar",05/17/1606
Treaty of Zsitvatorok ends Ottoman-Habsburg war in Hungary,11/11/1606
"Bank of Genoa fails, financial crisis in Europe",05/11/1607
"Jamestown founded, first permanent English settlement in Americas",05/14/1607
"Monteverdi's L'Orfeo, first major opera, performed",07/26/1607
Bohemian Protestant revolt begins to brew,02/20/1608
Samuel de Champlain founds Quebec City for France,07/03/1608
Hans Lippershey invents telescope in Netherlands,09/18/1608
Henry Hudson explores Hudson River for Dutch,01/17/1609
Johannes Kepler publishes laws of planetary motion,05/11/1609
Galileo's astronomical observations with telescope,08/17/1609
"Galileo improves telescope, observes Jupiter's moons",08/28/1609
"Galileo publishes Sidereus Nuncius, announcing telescope discoveries",03/17/1610
Henry IV of France assassinated by Francois Ravaillac,05/14/1610
Shakespeare's The Tempest first performed,01/19/1611
King James Bible published,10/12/1611
Gustavus Adolphus becomes king of Sweden,10/30/1611
"Rudolf II, Holy Roman Emperor, dies",01/20/1612
Dutch establish trading post in Japan,02/23/1612
Matthias becomes Holy Roman Emperor,05/11/1612
"Michael Romanov elected Tsar, founding Romanov dynasty",02/21/1613
Globe Theatre burns during performance of Henry VIII,06/29/1613
Time of Troubles in Russia ends with Romanov election,10/30/1613
Pocahontas marries John Rolfe in Virginia,03/02/1614
Tokugawa shogunate bans Christianity in Japan,04/23/1614
Log tables published by John Napier,11/26/1614
Battle of Osaka - Tokugawa defeats Toyotomi clan,03/10/1615
Cardinal Richelieu begins rise to power in France,05/28/1615
Tokugawa Ieyasu consolidates shogunate control of Japan,09/23/1615
Miguel de Cervantes dies,04/22/1616
Tobacco banned by Pope Paul V,07/16/1616
William Shakespeare dies,08/27/1616
Inigo Jones designs Banqueting House in London,01/01/1617
Treaty of Stolbovo - Russia cedes Baltic territories to Sweden,02/27/1617
Tokugawa Hidetada becomes shogun of Japan,05/31/1617
Thirty Years' War begins,05/05/1618
Thirty Years War begins with Defenestration of Prague,05/23/1618
Raleigh executed by James I to appease Spain,10/29/1618
"Dutch capture Jayakarta (Jakarta), build Batavia",01/13/1619
First African slaves arrive in English North America (Virginia),08/24/1619
Ferdinand II becomes Holy Roman Emperor,08/28/1619
Francis Bacon publishes Novum Organum on scientific method,01/01/1620
Mayflower Compact signed,05/06/1620
Battle of White Mountain - Catholics defeat Bohemian Protestants,11/08/1620
"Pilgrim Fathers sail on Mayflower, found Plymouth Colony",11/11/1620
Pilgrims land at Plymouth Rock,11/21/1620
Thirty Years War continues with Catholic victories in Germany,04/12/1621
Dutch West India Company founded,06/03/1621
Massacre at Jamestown - Powhatan Confederacy attacks English settlers,03/22/1622
Cardinal Richelieu becomes chief minister of France,03/29/1622
Papal Congregation for Propagation of Faith established,07/20/1622
Amboyna Massacre - Dutch kill English merchants in Indonesia,02/21/1623
Cardinal Richelieu becomes chief minister to Louis XIII of France,04/29/1623
Shah Abbas I of Persia at height of Safavid power,05/03/1623
Virginia becomes royal colony,03/18/1624
Cardinal Richelieu becomes First Minister of France,08/13/1624
Cardinal Richelieu consolidates royal authority in France,08/29/1624
Charles I becomes king of England,03/27/1625
"Plague kills 35,000 in London",06/06/1625
"Hugo Grotius publishes De Jure Belli ac Pacis, founding international law",07/01/1625
Peter Minuit purchases Manhattan from Native Americans for Dutch,05/22/1626
New Amsterdam (New York) founded by Dutch,06/13/1626
Cardinal Richelieu defeats Huguenot rebellion in France,11/06/1626
Mughal Emperor Shah Jahan begins reign,01/18/1627
"England attempts to support Huguenots at La Rochelle, fails",06/14/1627
"Extinct aurochs die out, last specimen dies in Poland",12/27/1627
Petition of Right - English Parliament limits king's power,06/07/1628
"La Rochelle falls to Richelieu, Huguenot military power ended",10/28/1628
William Harvey publishes discovery of blood circulation,11/02/1628
Peace of Alais - Huguenots lose political privileges in France,01/21/1629
"Edict of Restitution in Thirty Years War, forcing Protestant lands to return to Catholics",03/06/1629
"Charles I dissolves Parliament, begins eleven years of personal rule",03/10/1629
Massachusetts Bay Colony founded,03/23/1630
Gustavus Adolphus of Sweden enters Thirty Years War,07/26/1630
Johan Winthrop founds Boston in New England,09/17/1630
Sack of Magdeburg - Imperial forces massacre Protestant city,05/20/1631
"Battle of Breitenfeld - Sweden defeats Imperials, key Protestant victory",09/17/1631
Shah Jahan begins Taj Mahal in memory of Mumtaz Mahal,12/30/1631
Galileo publishes Dialogue on the Two Chief World Systems,02/15/1632
Rembrandt paints The Anatomy Lesson of Dr. Nicolaes Tulp,04/22/1632
Battle of Lutzen - Sweden wins but Gustavus Adolphus killed,11/16/1632
Cardinal Richelieu forms League of Heilbronn with Protestants,04/14/1633
Galileo forced to recant heliocentrism by Inquisition,06/22/1633
Massachusetts Bay Colony becomes established Protestant community,10/05/1633
"Albrecht von Wallenstein, Imperial general, assassinated",02/25/1634
"Battle of Nordlingen - Imperials defeat Swedes, war shifts",09/06/1634
French enter Thirty Years War directly against Habsburgs,12/28/1634
"France declares war on Spain, entering Thirty Years War",05/19/1635
Peace of Prague - most German princes settle with Emperor,05/30/1635
Académie française founded in France by Richelieu,12/13/1635
Harvard College founded in Massachusetts,03/03/1636
Shimabara Rebellion of Japanese Christians,04/01/1636
Japan's sakoku (isolation) policy begins,06/07/1636
"Tulip mania crash in Netherlands, early financial bubble",02/14/1637
"Shimabara Rebellion crushed in Japan, Christianity suppressed",03/17/1637
Descartes publishes Discourse on Method,07/05/1637
Bishop's War begins - Scottish rebellion against Charles I,02/01/1638
National Covenant signed by Scots against Charles I's church policies,06/28/1638
Ottoman Sultan Murad IV recaptures Baghdad from Safavid Persia,12/25/1638
Treaty of Berwick ends first Bishops War,06/18/1639
First Bishop's War - Charles I defeated by Scots,12/03/1639
Tasman prepares to explore Southern Seas,12/26/1639
Catalan Revolt begins against Spanish crown,03/17/1640
"Long Parliament summoned, Charles I cannot dismiss it",11/03/1640
Portugal restores independence from Spain under John IV,12/01/1640
Treaty of the Hague - Spain recognizes Dutch independence,10/10/1641
Irish Rebellion - Catholic Irish revolt against Protestant settlers,10/23/1641
Grand Remonstrance - Parliament presents grievances to Charles I,12/01/1641
English Civil War begins,01/12/1642
Abel Tasman discovers New Zealand and Tasmania,06/28/1642
Battle of Edgehill - first major battle of English Civil War,10/23/1642
Rembrandt paints The Night Watch,12/10/1642
Battle of Rocroi - France defeats Spanish tercio infantry,05/19/1643
Barometer invented by Evangelista Torricelli,06/01/1643
Cardinal Mazarin becomes chief minister of France,08/22/1643
Barometer invented,09/30/1643
Oliver Cromwell's New Model Army being organized,04/20/1644
Qing dynasty replaces Ming dynasty in China,05/04/1644
Battle of Marston Moor - Parliamentarians defeat Royalists,07/02/1644
"Turks defeat Venice at Battle of Canea, take Crete",03/21/1645
Battle of Naseby - Cromwell's New Model Army defeats Charles I decisively,06/14/1645
Qing dynasty consolidates control of China,08/28/1645
Charles I surrenders to Scottish army,05/05/1646
English Civil War effectively ends with Royalist defeat,06/21/1646
"Johann van Leiden, Anabaptist king, long dead; radical sects continue",07/01/1646
"Plague kills estimated 300,000 in Naples",07/02/1647
Charles I escapes to Isle of Wight,11/10/1647
Putney Debates - Levellers argue for democracy in Cromwell's army,11/28/1647
Fronde rebellion begins in France against Cardinal Mazarin,02/14/1648
Second English Civil War - Scotland invades for Charles I,08/13/1648
Peace of Westphalia ends Thirty Years' War,10/24/1648
Taj Mahal completed in India,11/08/1648
King Charles I of England executed,01/30/1649
English Commonwealth established under Oliver Cromwell,03/14/1649
Commonwealth of England declared,05/19/1649
Cromwell suppresses Irish rebellion at Drogheda massacre,09/11/1649
Scottish Parliament proclaims Charles II as king,01/21/1650
Rene Descartes dies in Sweden,02/11/1650
Dutch colony at Cape of Good Hope established,05/08/1650
Thomas Hobbes publishes Leviathan,02/01/1651
Navigation Act - England restricts colonial trade to English ships,03/27/1651
"Battle of Worcester - Cromwell defeats Charles II, ends Civil Wars",09/03/1651
"Fronde rebellion in France ends, monarchy restored to full power",01/08/1652
Jan van Riebeeck establishes Dutch Cape Colony in South Africa,04/06/1652
First Anglo-Dutch War begins over trade rivalry,12/25/1652
Treaty of Westminster ends First Anglo-Dutch War,05/12/1653
Taj Mahal completed by Shah Jahan,06/13/1653
"Oliver Cromwell dissolves Rump Parliament, becomes Lord Protector",12/16/1653
Sweden-Denmark war begins,03/02/1654
Blaise Pascal and Fermat develop probability theory,10/24/1654
Jamaica captured by England from Spain,05/02/1655
Charles X Gustav of Sweden begins wars with Denmark and Poland,11/12/1655
Treaty of Westminster - Dutch cede New York area to English briefly,12/12/1655
Ottoman Koprulu viziers begin reforming Ottoman Empire,03/14/1656
Velazquez paints Las Meninas,06/03/1656
Battle of Warsaw - Sweden defeats Poland,07/11/1656
Aurangzeb begins struggle for Mughal succession,06/12/1657
Alliance of the Rhine formed against France,09/25/1657
Oliver Cromwell declines offer of kingship,10/17/1657
Battle of the Dunes - France and England defeat Spain,06/14/1658
"Oliver Cromwell dies, Richard Cromwell becomes Protector",09/03/1658
"Aurangzeb defeats brothers, becomes Mughal Emperor",11/20/1658
Sweden and Denmark sign Treaty of Roskilde,02/26/1659
"Richard Cromwell resigns, road to Restoration begins",05/25/1659
Peace of the Pyrenees - France and Spain settle Thirty Years War aftermath,11/07/1659
Pepys begins his famous diary,01/01/1660
"Charles II restored as king of England, monarchy returns",05/29/1660
Royal Society founded in London for scientific inquiry,11/07/1660
"Cardinal Mazarin dies, Louis XIV rules without a chief minister",03/09/1661
"Kangxi Emperor begins reign in China, long and prosperous",10/08/1661
Louis XIV begins personal rule of France,10/18/1661
Palace of Versailles construction begins,11/11/1661
Royal Charter granted to Royal Society,07/15/1662
Robert Boyle publishes Boyle's Law on gas pressure,08/29/1662
Charles II sells Dunkirk to France,12/07/1662
Colbert introduces mercantilist economic policies in France,01/12/1663
Louis XIV builds Versailles as royal palace,02/20/1663
Second Anglo-Dutch War preparations begin,05/21/1663
Second Anglo-Dutch War begins,01/12/1664
French East India Company founded by Colbert,03/06/1664
"English capture New Amsterdam from Dutch, rename it New York",09/08/1664
Battle of Lowestoft - English defeat Dutch fleet,06/13/1665
Great Plague of London,07/08/1665
Newton develops calculus while Cambridge closed for plague,10/04/1665
Battle of the Four Days Fight - Dutch defeat English at sea,06/11/1666
Great Fire of London destroys much of the city,09/02/1666
Great Fire of London,10/19/1666
"Newton observes apple, begins work on gravity (approximately)",11/24/1666
"Dutch raid English fleet in the Medway, humiliating England",06/18/1667
Treaty of Breda ends Second Anglo-Dutch War,07/31/1667
Louis XIV begins War of Devolution against Spanish Netherlands,11/30/1667
Treaty of Lisbon - Spain recognizes Portuguese independence,02/13/1668
"Triple Alliance of England, Dutch, Sweden checks France",08/04/1668
John Dryden appointed Poet Laureate of England,09/20/1668
Crete falls to Ottomans after long Venice resistance,02/02/1669
Ottoman Turks conquer Crete from Venice,09/27/1669
Rembrandt van Rijn dies,10/04/1669
Hudson's Bay Company founded in England,05/02/1670
Treaty of Dover - Charles II secretly allies with France against Dutch,05/22/1670
Blaise Pascal's Pensees published posthumously,10/20/1670
Buccaneers under Morgan sack Panama City,01/25/1671
Stenko Razin leads peasant revolt in Russia,02/08/1671
Stenko Razin captured and executed,06/20/1671
William III of Orange becomes leader of Dutch against French invasion,05/22/1672
De Witt brothers lynched by Dutch mob,08/20/1672
